y_m_j,Nbre_Acc,Nbre_Acc_t-1
2022-12-12,144,115.0
2022-12-13,119,144.0
2022-12-14,134,119.0
2022-12-15,124,134.0
2022-12-16,181,124.0
2022-12-17,122,181.0
2022-12-18,99,122.0
2022-12-19,98,99.0
2022-12-20,114,98.0
2022-12-21,128,114.0
2022-12-22,105,128.0
2022-12-23,168,105.0
2022-12-24,87,168.0
2022-12-25,59,87.0
2022-12-26,83,59.0
2022-12-27,99,83.0
2022-12-28,85,99.0
2022-12-29,81,85.0
2022-12-30,109,81.0
2022-12-31,93,109.0
